Age,Gender,Educational Level,How many hours do you spend daily on social media,Do you prefer using technology for work or leisure?,How many hours do you spend in front of computer screens or smartphones daily?,Do you feel that you use social media excessively?,Do social media platforms affect your social relationships?,Have you noticed a change in your mood after using technology?,"How would you rate your level of focus while working or studying? On a scale from 1 to 5, where 1 = very poor and 5 = excellent.",Do you find it difficult to concentrate when using technology (social media)?,How often do you feel distracted while trying to work or study due to technology (social media)?,"How would you rate your level of concern regarding technology use, particularly social media? On a scale from 1 to 5, where 1 = very low and 5 = excellent.","Do you believe that your use of social media negatively affects y How would you rate your level of concern regarding technology use, particularly social media? On a scale from 1 to 5, where 1 = very low and 5 = excellent.our mental health?",Do you believe that your use of social media negatively affects your mental health?,What platforms do you primarily use?,Do you think that using certain applications can help reduce feelings of mental fatigue?,Do you use any strategies to reduce technology usage?,"If yes was chosen for the above question, what are the strategies?"
35,0,3,3,0,3,1,1,1,3,1,1,1,2,0,Facebook,1,0,Spending time with family
34,1,3,3,0,3,1,1,1,5,1,1,1,4,1,TikTok,1,1,Reading
32,1,3,3,0,3,1,1,0,5,0,1,1,1,0,Facebook,1,1,Exercising
24,0,2,3,0,3,1,0,0,5,1,0,1,3,1,Instagram,1,1,Spending time with family
21,1,2,2,1,2,1,0,1,2,1,1,1,3,1,Instagram,1,1,Reading
23,0,2,1,0,3,0,0,1,3,0,1,0,1,0,"TikTok, Facebook, Telegram,Instagram,YouTube,Snapchat,X",1,0,Exercising
20,0,2,2,0,2,0,0,1,4,0,0,1,4,0,TikTok,1,1,Spending time with family
21,1,2,2,0,2,1,1,1,3,1,1,1,3,1,Instagram,1,0,Reading
36,1,3,2,1,2,1,1,1,4,0,1,1,3,1,Facebook,1,0,Exercising
28,1,2,3,1,3,0,0,1,3,1,0,1,1,1,Facebook,1,1,Spending time with family
21,1,2,1,0,3,0,1,1,3,1,1,1,3,1,Instagram,1,1,Reading
40,1,3,2,0,1,1,1,1,3,1,1,1,3,1,Facebook,0,0,Exercising
18,0,2,3,1,3,1,0,1,3,0,1,1,4,1,TikTok,1,1,Spending time with family
18,0,0,2,1,2,0,1,1,3,0,0,0,2,0,Instagram,1,0,Reading
20,0,2,3,1,3,1,1,1,3,0,1,0,2,1,Instagram,0,0,Exercising
56,0,3,1,1,1,0,0,0,5,1,1,1,4,0,Instagram,0,0,Spending time with family
42,1,3,1,0,2,1,1,1,5,1,1,1,4,1,Facebook,1,1,Exercising
27,0,3,2,0,2,0,0,0,4,0,0,0,3,0,Instagram,0,1,Spending time with family
30,1,3,1,0,1,0,0,0,3,1,1,1,2,0,Facebook,1,1,Reading
18,0,2,3,0,3,1,0,1,4,0,0,1,2,0,Instagram,1,0,Exercising
30,1,3,2,0,2,1,0,0,4,1,0,1,2,1,Facebook,0,1,Spending time with family
19,0,2,3,0,3,1,0,1,3,1,1,1,2,1,"TikTok, Facebook, Telegram,Instagram,YouTube,Snapchat,X",1,1,Reading
44,1,4,2,0,1,0,0,1,5,0,1,1,2,0,"TikTok, Facebook, Telegram,Instagram,YouTube,Snapchat,X",1,1,Exercising
35,1,3,3,0,3,1,1,1,4,0,1,0,1,1,Facebook,0,1,Spending time with family
32,1,3,2,1,2,1,1,1,3,0,1,1,4,1,Facebook,1,0,Reading
32,1,3,3,1,3,0,0,0,4,1,1,1,3,1,Facebook,1,1,Exercising
34,1,3,2,0,2,1,1,1,4,1,1,1,4,1,Instagram,1,1,Spending time with family
32,0,2,1,0,2,1,1,1,4,0,0,0,3,1,Instagram,0,0,Reading
26,0,1,3,0,1,0,0,1,3,0,0,1,2,0,Instagram,1,0,Exercising
34,1,2,1,1,2,1,1,1,5,0,1,1,4,1,Instagram,0,0,Spending time with family
25,0,3,2,1,1,1,0,1,3,0,1,1,3,1,Facebook,1,1,Reading
36,0,3,1,0,1,0,1,0,4,1,1,1,3,0,Facebook,1,1,Exercising
31,0,2,3,1,3,0,0,1,4,1,0,0,4,0,Instagram,1,0,Spending time with family
30,0,3,0,0,1,0,0,1,4,1,0,1,3,1,Facebook,1,1,Exercising
40,1,3,1,0,1,0,0,1,4,0,1,1,2,1,Facebook,1,1,Spending time with family
28,0,3,1,0,3,0,0,1,5,0,1,0,3,0,Instagram,1,1,Reading
29,1,2,1,0,1,0,0,0,3,1,1,1,3,0,Facebook,0,1,Exercising
23,0,1,3,1,3,1,0,1,2,0,1,1,3,1,Instagram,0,0,Spending time with family
30,1,3,3,0,2,1,1,1,3,1,1,1,3,1,Facebook,1,1,Reading
21,0,2,2,1,2,0,0,0,4,0,0,0,2,0,Instagram,1,0,Exercising
19,0,0,3,1,3,1,1,1,2,1,1,1,1,1,Instagram,1,0,Spending time with family
19,0,0,3,1,3,1,1,1,3,1,1,0,2,1,Telegram wats up,1,0,Reading
31,1,2,2,0,2,1,0,1,3,0,1,1,4,1,Instagram,0,1,Exercising
29,0,3,3,1,3,1,0,1,3,1,1,1,3,1,Instagram,0,0,Spending time with family
18,0,0,2,1,0,1,0,1,2,1,1,1,1,1,Instagram,0,1,Reading
29,1,2,1,0,1,0,0,0,4,0,1,1,1,0,Instagram,1,1,Exercising
